symptom,vas
이가 너무 아파서 일할 수 없어요.,10
치아 통증이 너무 심해서 견딜 수 없어요.,10
치아가 너무 아파서 아무것도 할 수 없어요.,10
치아 통증이 너무 심해서 집중할 수 없어요.,10
치아 통증이 너무 심해서 밤에 잠을 잘 수 없어요.,10
치아가 너무 아파서 잠도 잘 수 없어요.,10
잇몸이 너무 아파서 아무것도 할 수 없어요.,10
치아 통증이 너무 심해서 아무것도 할 수 없어요.,10
치아가 너무 아파서 견딜 수 없어요.,10
잇몸이 너무 아파서 참을 수 없어요.,10
치아 통증이 너무 심해서 잠을 잘 수 없어요.,10
이가 너무 아파서 일을 할 수 없어요.,10
치아가 너무 아파서 잠도 잘 수 없어요.,10
잇몸이 너무 아파서 아무것도 할 수 없어요.,10
치아 통증이 너무 심해서 견딜 수가 없어요.,10
이가 너무 아파서 잠을 잘 수 없어요.,10
치아가 너무 아파서 잠도 잘 수 없어요.,10
치아 통증이 너무 심해서 아무것도 할 수 없어요.,10
잇몸이 너무 아파서 견딜 수 없어요.,10
치아가 너무 아파서 일을 할 수 없어요.,10
이가 너무 아파서 견딜 수 없어요.,10
치아 통증이 너무 심해서 잠을 잘 수 없어요.,10
치아 통증이 너무 심해서 아무것도 할 수 없어요.,10
잇몸이 너무 아파서 잠을 잘 수 없어요.,10
치아가 너무 아파서 잠도 잘 수 없어요.,10
치아 통증이 너무 심해서 견딜 수 없어요.,10
치아 통증이 너무 심해서 집중할 수 없어요.,10
치아가 너무 아파서 견딜 수 없어요.,10
잇몸이 너무 아파서 아무것도 할 수 없어요.,10
치아가 너무 아파서 잠도 잘 수 없어요.,10
"아침에 깨어났을 때 치아에 전혀 문제가 없어요, 아무 느낌도 없습니다.",0
"가끔 치아가 살짝 아릴 때가 있지만, 거의 주목하지 않아도 됩니다.",1
차가운 음료를 마실 때 가끔 치아가 미세하게 민감해집니다.,2
"얼음을 먹으면 잠깐 치아가 아프지만, 곧 나아집니다.",3
씹을 때마다 가끔 어금니가 약간 불편하게 느껴집니다.,4
자주 뜨거운 음식을 먹을 때 치아가 잠시 동안 아파요.,5
추운 날씨에 치아가 지속적으로 민감하고 아파서 외출이 어려워요.,6
매운 음식을 먹을 때마다 심한 통증이 발생하여 식사를 멈춰야 해요.,7
치통이 너무 심해서 거의 매일 밤 제대로 잠을 자지 못합니다.,8
통증 때문에 정상적인 식사나 말하기가 힘들어서 일상 생활에 큰 지장을 받고 있어요.,9
치통이 너무 견디기 힘들어서 즉시 의료 도움이 필요합니다.,10
"초콜릿을 먹을 때 잠깐 치아가 민감해지지만, 금방 괜찮아집니다.",1
찬 바람이 불 때 치아 한 두 개가 살짝 시려오기도 합니다.,2
젤리나 사탕을 먹을 때 잇몸 주변이 가끔 미세하게 아파요.,3
단단한 빵을 씹을 때 치아가 약간 아프고 불편합니다.,4
커피를 마실 때마다 잇몸이 약간 부어오르고 민감해집니다.,5
얼음물을 마시면 치아가 길게 욱신거리며 아프기 시작합니다.,6
레몬이나 신 음식을 먹을 때마다 치아가 급격히 아파옵니다.,7
치통이 심해져서 회의나 강의 중에도 집중할 수 없습니다.,8
치아 통증 때문에 음식을 삼키는 것조차 고통스러워요.,9
치아 통증이 너무 심해 바로 수술이 필요할 것 같아요.,10
양치할 때 가끔 이가 약간 시린 느낌이 들어요.,1
"아무런 문제가 느껴지지 않아요, 치아가 완전히 편안해요.",0
"종종 이가 살짝 시려울 때가 있지만, 신경 쓰지 않아도 돼요.",1
"찬 음료를 마실 때 가끔 치아가 살짝 민감해져요, 하지만 바로 괜찮아져요.",2
하루에 한두 번 껌을 씹을 때 약간의 불편함을 느껴요.,3
"얼음을 씹으면 잠깐 치아가 시리고 아파요, 그러나 금방 나아요.",4
"아침에 일어났을 때 치아가 잠깐 동안 뻐근하게 느껴져요, 한 시간 정도 지속되요.",5
"뜨거운 음식을 먹고 나면 치아가 한동안 아프고, 이로 인해 잠시 다른 활동을 할 수 없어요.",6
"차가운 바람이 불 때마다 치아에 심한 통증이 발생해, 야외 활동이 힘들어요.",7
정기적으로 심한 치통이 있어서 진통제 없이는 잠을 잘 수 없어요.,8
"치통 때문에 일상 생활에 큰 지장을 받고 있어요, 말하기도 힘들 정도에요.",9
통증이 너무 견디기 힘들어 즉시 치과 응급 치료가 필요해요.,10
"음료를 마실 때 가끔 이가 살짝 아리고, 느낌이 사라질 때까지 기다려야 해요.",1
"신 음식을 먹을 때 이가 잠깐 아리고 민감해져요, 식사 후 몇 분 동안 지속돼요.",2
"매운 음식을 먹고 나면 치아가 잠시 아프고, 물을 마셔야만 진정돼요.",3
어금니를 사용해 딱딱한 음식을 씹을 때 통증이 있어서 조심스럽게 씹어야 해요.,4
찬 음료나 아이스크림을 먹을 때 치아가 몇 분간 지속적으로 욱신거려요.,5
커피나 뜨거운 차를 마실 때마다 치아가 심하게 아파서 한동안 먹을 수가 없어요.,6
"날씨가 추워질 때마다 치아가 계속 아파서 외출이 꺼려져요, 통증이 오래 지속됩니다.",7
"치아의 통증 때문에 밤에 자주 깨고, 제대로 된 수면을 취할 수 없어요.",8
"하루 종일 치통 때문에 정상적인 식사나 대화가 힘들어요, 진통제를 자주 복용해요.",9
"통증이 너무 심해서 응급 치과 진료를 받아야만 해요, 통증이 너무 견디기 어려워요.",10
아침에 일어났을 때만 잠깐 동안 이가 약간 불편하고 그 후엔 괜찮아져요.,2
가벼운 단 음식을 먹을 때만 치아가 살짝 시큰거리는 느낌이 들어요.,3
하루 종일 문제가 없다가도 밤에 찬 바람이 불 때만 이가 약간 아픈 느낌이 들어요.,4
"딱딱한 음식을 씹을 때만 왼쪽 어금니가 가끔 아프고, 다른 때는 전혀 문제가 없어요.",5
"가끔 얼음을 먹을 때 이가 약간 아파요, 하지만 아픈 것이 오래 지속되지는 않아요.",1
"새로운 칫솔로 갈아탄 후부터 양치할 때 잇몸이 약간 아프긴 해요, 그치만 금방 괜찮아져요.",2
"맵고 뜨거운 음식을 먹고 나면 잇몸이 잠깐 붓고 불편해요, 시간이 지나면 괜찮아집니다.",3
감기에 걸렸을 때 이가 잠깐 동안 민감해지고 아프다가 회복되요.,4
"가끔 이를 꽉 깨물었을 때 치아가 잠시 아파오고, 통증이 금방 가라앉아요.",5
커피를 마신 후에 이가 약간 시리다가도 몇 분 후면 괜찮아져요.,1
후추와 같은 매운 조미료가 잇몸에 닿을 때 가끔 살짝 아픈 느낌이 들어요.,2
"신선한 주스를 마실 때 이가 잠깐 민감해지지만, 빠르게 정상으로 돌아와요.",3
야외에서 차가운 바람을 맞을 때 이가 잠시 동안만 쑤시고 아파요.,4
"오랜 시간 동안 음악회에서 노래를 부르고 나면, 잇몸이 약간 아프고 붓는데, 곧 회복돼요.",5
치아가 전혀 불편하지 않고 아프지도 않아요.,0
"가끔 살짝 양치할 때 잇몸이 간질거려요, 그냥 가볍게 느껴질 뿐이에요.",1
"차가운 음식 먹을 때 가끔 치아가 살짝 찌릿해요, 금방 괜찮아져요.",2
딱딱한 것을 씹을 때만 가끔 오른쪽 어금니가 불편해요.,3
"매일 아침 일어나면 잇몸이 약간 부어있고, 물 마실 때 미세하게 아파요.",4
"찬 바람이 불 때마다 왼쪽 앞니가 욱신거려요, 계속해서 불편해요.",5
커피를 마실 때마다 심한 통증이 있어서 잠깐 동안 아무 것도 못 해요.,6
상시로 아픈 게 아니라 씹을 때마다 잇몸에서 심한 통증이 발생해요.,7
"밤에 자다가도 치통 때문에 깨곤 해요, 거의 매일 통증이 있어요.",8
"치통 때문에 일상 생활이 힘들 정도로, 거의 항상 아파요.",9
"통증이 너무 심해서 바로 병원에 가야 할 것 같아요, 견딜 수 없어요.",10
"식사하고 나면 양치할 때 잇몸에서 피가 나고, 그 순간만 아픔이 느껴져요.",4
"냉음료를 마실 때마다 통증이 찌릿하게 오고, 계속해서 불편함이 지속돼요.",5
"아침에 일어날 때마다 어금니가 욱신거리는 통증이 있어요, 일상에 방해가 되요.",6
"식사할 때마다 치아의 통증 때문에 제대로 씹지도 못해요, 매우 아파요.",7
치통이 너무 심해서 밤새도록 잠을 이루지 못하고 있어요.,8
"통증이 너무 심해서 집중을 할 수 없고, 매일 진통제를 먹고 있어요.",9
"치통 때문에 응급실에 갈 정도로, 삶의 질이 매우 떨어져 있어요.",10
매일 아침 뜨거운 차를 마실 때마다 이가 찌릿하게 아파와서 고통스러워요.,4
"바람이 불 때마다 이가 쑤시고, 지속적으로 통증이 느껴져요.",5
식사 중에만 특정한 치아가 아파서 제대로 먹지를 못하겠어요.,6
오른쪽 어금니가 계속해서 아파서 직장에 가는 것도 힘들어요.,7
"이가 너무 자주 아파서 야간에도 통증 때문에 깨곤 해요, 정상적인 수면이 어려워요.",8
"지속적인 치통 때문에 식사와 대화가 힘들어요, 매우 심각해요.",9
"통증이 너무 심해서 일상생활이 불가능해지고 있어요, 즉시 치료가 필요해요.",10
가벼운 음식을 먹어도 이가 민감하게 반응하며 쑤시고 아파요.,4
"양치질할 때마다 잇몸이 쑤시고, 자주 아파서 불편해요.",5
아이스크림을 먹을 때마다 심한 통증이 발생해서 즐길 수가 없어요.,6
더운 음료를 마실 때마다 이가 매우 아파서 진통제를 찾게 돼요.,7
"치통이 너무 심해서 심지어 말하는 것도 힘들어요, 바로 치료받아야 해요.",10
치아가 전혀 불편하지 않아요. ,0
거의 느껴지지 않는 아주 약간의 느낌이 있어요. ,1
"가끔 가벼운 느낌이 들어요, 거의 신경 쓰이지 않아요. ",2
어쩌다가 약간 불편한 느낌이 들기는 해요. ,3
가끔 이가 미세하게 아픈 느낌이 있어요. ,4
이가 주기적으로 쑤시고 아픈 느낌이 들어요. ,5
식사할 때마다 치아가 쑤시고 불편해요. ,6
"매일 치아가 아프고, 일상 생활에 지장을 줘요. ",7
지속적인 치통으로 밤에도 자주 깨요. ,8
심한 통증으로 많은 스트레스를 받고 있어요. ,9
견딜 수 없는 통증으로 즉시 치료가 필요해요. ,10
먹을 때 치아가 가끔씩 불편해요. ,4
치아에 무언가 걸린 듯 지속적으로 불편함을 느껴요. ,5
식사 때마다 치아에 심한 통증이 있어요. ,6
차가운 음료를 마실 때 치아가 매우 아파요. ,7
매일 아침 치아가 뻐근하고 아파요. ,8
치아의 지속적인 통증으로 일을 할 수 없어요. ,9
치아 통증으로 인해 병원 응급실에 가야 해요. ,10
가끔 치아가 살짝 불편할 때가 있어요. ,4
자주 이가 아프고 불편한 느낌이 있어요. ,5
딱딱한 음식을 먹을 때마다 심한 아픔을 느껴요. ,6
이가 지속적으로 아파서 정상적인 식사가 어려워요. ,7
아픈 치아 때문에 밤에 제대로 잠을 못 자요. ,8
치아 통증으로 인해 하루 종일 고통 받고 있어요. ,9
치아 통증이 너무 심해서 말하기도 힘들어요. ,10
가끔 치아가 약간 아플 때가 있어요. ,4
식사할 때마다 이가 불편하고 아파요. ,5
치아에 지속적인 중간 정도의 통증이 있어요. ,6
심한 치통으로 인해 먹기가 매우 어려워요. ,7
